entity,timestamp,lat,lon,value
alpha,2026-01-01T00:00:00Z,40.4168,-3.7038,12.2
alpha,2026-01-01T01:00:00Z,40.4168,-3.7038,12.4
alpha,2026-01-01T02:00:00Z,40.4168,-3.7038,12.7
alpha,2026-01-01T04:00:00Z,40.4168,-3.7038,13.0
alpha,2026-01-01T05:00:00Z,40.4168,-3.7038,13.1
beta,2026-01-01T00:00:00Z,40.4180,-3.7020,8.0
beta,2026-01-01T01:00:00Z,40.4180,-3.7020,8.1
beta,2026-01-01T02:00:00Z,40.4180,-3.7020,8.2
beta,2026-01-01T03:00:00Z,40.4180,-3.7020,8.3
beta,2026-01-01T04:00:00Z,40.4180,-3.7020,8.4
beta,2026-01-01T05:00:00Z,40.4180,-3.7020,8.5
gamma,2026-01-01T00:00:00Z,40.4200,-3.7000,4.0
gamma,2026-01-01T01:00:00Z,40.4200,-3.7000,4.1
gamma,2026-01-01T02:00:00Z,40.4200,-3.7000,4.2
gamma,2026-01-01T03:00:00Z,40.4200,-3.7000,4.3
gamma,2026-01-01T04:00:00Z,40.4200,-3.7000,4.4
gamma,2026-01-01T05:00:00Z,40.4200,-3.7000,4.5
